fasta,name,organism,source,genome_assembly
s3://ngi-igenomes/igenomes/Glycine_max/Ensembl/Gm01/Sequence/WholeGenomeFasta/genome.fa,Glycine_max/Ensembl/Gm01,Glycine max,Ensembl,Gm01
s3://ngi-igenomes/igenomes/Homo_sapiens/Ensembl/GRCh37/Sequence/WholeGenomeFasta/genome.fa,Homo_sapiens/Ensembl/GRCh37,Homo sapiens,Ensembl,GRCh37
s3://ngi-igenomes/igenomes/Homo_sapiens/NCBI/GRCh38/Sequence/WholeGenomeFasta/genome.fa,Homo_sapiens/NCBI/GRCh38,Homo sapiens,NCBI,GRCh38
s3://ngi-igenomes/igenomes/Homo_sapiens/NCBI/GRCh38Decoy/Sequence/WholeGenomeFasta/genome.fa,Homo_sapiens/NCBI/GRCh38Decoy,Homo sapiens,NCBI,GRCh38Decoy
s3://ngi-igenomes/igenomes/Homo_sapiens/NCBI/build36.3/Sequence/WholeGenomeFasta/genome.fa,Homo_sapiens/NCBI/build36.3,Homo sapiens,NCBI,build36.3
s3://ngi-igenomes/igenomes/Homo_sapiens/NCBI/build37.1/Sequence/WholeGenomeFasta/genome.fa,Homo_sapiens/NCBI/build37.1,Homo sapiens,NCBI,build37.1
s3://ngi-igenomes/igenomes/Homo_sapiens/NCBI/build37.2/Sequence/WholeGenomeFasta/genome.fa,Homo_sapiens/NCBI/build37.2,Homo sapiens,NCBI,build37.2
s3://ngi-igenomes/igenomes/Homo_sapiens/UCSC/CHM13/Sequence/WholeGenomeFasta/genome.fa,Homo_sapiens/UCSC/CHM13,Homo sapiens,UCSC,CHM13
s3://ngi-igenomes/igenomes/Homo_sapiens/UCSC/hg18/Sequence/WholeGenomeFasta/genome.fa,Homo_sapiens/UCSC/hg18,Homo sapiens,UCSC,hg18
s3://ngi-igenomes/igenomes/Homo_sapiens/UCSC/hg19/Sequence/WholeGenomeFasta/genome.fa,Homo_sapiens/UCSC/hg19,Homo sapiens,UCSC,hg19
s3://ngi-igenomes/igenomes/Homo_sapiens/UCSC/hg38/Sequence/WholeGenomeFasta/genome.fa,Homo_sapiens/UCSC/hg38,Homo sapiens,UCSC,hg38
s3://ngi-igenomes/igenomes/Macaca_mulatta/Ensembl/Mmul_1/Sequence/WholeGenomeFasta/genome.fa,Macaca_mulatta/Ensembl/Mmul_1,Macaca mulatta,Ensembl,Mmul_1
s3://ngi-igenomes/igenomes/Mus_musculus/Ensembl/GRCm38/Sequence/WholeGenomeFasta/genome.fa,Mus_musculus/Ensembl/GRCm38,Mus musculus,Ensembl,GRCm38
s3://ngi-igenomes/igenomes/Mus_musculus/Ensembl/NCBIM37/Sequence/WholeGenomeFasta/genome.fa,Mus_musculus/Ensembl/NCBIM37,Mus musculus,Ensembl,NCBIM37
s3://ngi-igenomes/igenomes/Mus_musculus/NCBI/GRCm38/Sequence/WholeGenomeFasta/genome.fa,Mus_musculus/NCBI/GRCm38,Mus musculus,NCBI,GRCm38
s3://ngi-igenomes/igenomes/Mus_musculus/NCBI/build37.1/Sequence/WholeGenomeFasta/genome.fa,Mus_musculus/NCBI/build37.1,Mus musculus,NCBI,build37.1
s3://ngi-igenomes/igenomes/Mus_musculus/NCBI/build37.2/Sequence/WholeGenomeFasta/genome.fa,Mus_musculus/NCBI/build37.2,Mus musculus,NCBI,build37.2
s3://ngi-igenomes/igenomes/Mus_musculus/UCSC/mm10/Sequence/WholeGenomeFasta/genome.fa,Mus_musculus/UCSC/mm10,Mus musculus,UCSC,mm10
s3://ngi-igenomes/igenomes/Mus_musculus/UCSC/mm9/Sequence/WholeGenomeFasta/genome.fa,Mus_musculus/UCSC/mm9,Mus musculus,UCSC,mm9
s3://ngi-igenomes/igenomes/Mycobacterium_tuberculosis_H37RV/Ensembl/H37Rv.EB1/Sequence/WholeGenomeFasta/genome.fa,Mycobacterium_tuberculosis_H37RV/Ensembl/H37Rv.EB1,Mycobacterium tuberculosis H37RV,Ensembl,H37Rv.EB1
s3://ngi-igenomes/igenomes/Mycobacterium_tuberculosis_H37RV/NCBI/2001-09-07/Sequence/WholeGenomeFasta/genome.fa,Mycobacterium_tuberculosis_H37RV/NCBI/2001-09-07,Mycobacterium tuberculosis H37RV,NCBI,2001-09-07
s3://ngi-igenomes/igenomes/Oryza_sativa_japonica/Ensembl/IRGSP-1.0/Sequence/WholeGenomeFasta/genome.fa,Oryza_sativa_japonica/Ensembl/IRGSP-1.0,Oryza sativa japonica,Ensembl,IRGSP-1.0
s3://ngi-igenomes/igenomes/Oryza_sativa_japonica/Ensembl/MSU6/Sequence/WholeGenomeFasta/genome.fa,Oryza_sativa_japonica/Ensembl/MSU6,Oryza sativa japonica,Ensembl,MSU6
s3://ngi-igenomes/igenomes/Pan_troglodytes/Ensembl/CHIMP2.1.4/Sequence/WholeGenomeFasta/genome.fa,Pan_troglodytes/Ensembl/CHIMP2.1.4,Pan troglodytes,Ensembl,CHIMP2.1.4
s3://ngi-igenomes/igenomes/Pan_troglodytes/Ensembl/CHIMP2.1/Sequence/WholeGenomeFasta/genome.fa,Pan_troglodytes/Ensembl/CHIMP2.1,Pan troglodytes,Ensembl,CHIMP2.1
s3://ngi-igenomes/igenomes/Pan_troglodytes/NCBI/build2.1/Sequence/WholeGenomeFasta/genome.fa,Pan_troglodytes/NCBI/build2.1,Pan troglodytes,NCBI,build2.1
s3://ngi-igenomes/igenomes/Pan_troglodytes/NCBI/build3.1/Sequence/WholeGenomeFasta/genome.fa,Pan_troglodytes/NCBI/build3.1,Pan troglodytes,NCBI,build3.1
s3://ngi-igenomes/igenomes/Pan_troglodytes/UCSC/panTro2/Sequence/WholeGenomeFasta/genome.fa,Pan_troglodytes/UCSC/panTro2,Pan troglodytes,UCSC,panTro2
s3://ngi-igenomes/igenomes/Pan_troglodytes/UCSC/panTro3/Sequence/WholeGenomeFasta/genome.fa,Pan_troglodytes/UCSC/panTro3,Pan troglodytes,UCSC,panTro3
s3://ngi-igenomes/igenomes/Pan_troglodytes/UCSC/panTro4/Sequence/WholeGenomeFasta/genome.fa,Pan_troglodytes/UCSC/panTro4,Pan troglodytes,UCSC,panTro4
s3://ngi-igenomes/igenomes/PhiX/Illumina/RTA/Sequence/WholeGenomeFasta/genome.fa,PhiX/Illumina/RTA,PhiX,Illumina,RTA
s3://ngi-igenomes/igenomes/PhiX/NCBI/1993-04-28/Sequence/WholeGenomeFasta/genome.fa,PhiX/NCBI/1993-04-28,PhiX,NCBI,1993-04-28
s3://ngi-igenomes/igenomes/Pseudomonas_aeruginosa_PAO1/NCBI/2000-09-13/Sequence/WholeGenomeFasta/genome.fa,Pseudomonas_aeruginosa_PAO1/NCBI/2000-09-13,Pseudomonas aeruginosa PAO1,NCBI,2000-09-13
s3://ngi-igenomes/igenomes/Rattus_norvegicus/Ensembl/RGSC3.4/Sequence/WholeGenomeFasta/genome.fa,Rattus_norvegicus/Ensembl/RGSC3.4,Rattus norvegicus,Ensembl,RGSC3.4
s3://ngi-igenomes/igenomes/Rattus_norvegicus/Ensembl/Rnor_5.0/Sequence/WholeGenomeFasta/genome.fa,Rattus_norvegicus/Ensembl/Rnor_5.0,Rattus norvegicus,Ensembl,Rnor_5.0
s3://ngi-igenomes/igenomes/Rattus_norvegicus/Ensembl/Rnor_6.0/Sequence/WholeGenomeFasta/genome.fa,Rattus_norvegicus/Ensembl/Rnor_6.0,Rattus norvegicus,Ensembl,Rnor_6.0
s3://ngi-igenomes/igenomes/Rattus_norvegicus/NCBI/RGSC_v3.4/Sequence/WholeGenomeFasta/genome.fa,Rattus_norvegicus/NCBI/RGSC_v3.4,Rattus norvegicus,NCBI,RGSC_v3.4
s3://ngi-igenomes/igenomes/Rattus_norvegicus/NCBI/Rnor_5.0/Sequence/WholeGenomeFasta/genome.fa,Rattus_norvegicus/NCBI/Rnor_5.0,Rattus norvegicus,NCBI,Rnor_5.0
s3://ngi-igenomes/igenomes/Rattus_norvegicus/NCBI/Rnor_6.0/Sequence/WholeGenomeFasta/genome.fa,Rattus_norvegicus/NCBI/Rnor_6.0,Rattus norvegicus,NCBI,Rnor_6.0
s3://ngi-igenomes/igenomes/Rattus_norvegicus/UCSC/rn4/Sequence/WholeGenomeFasta/genome.fa,Rattus_norvegicus/UCSC/rn4,Rattus norvegicus,UCSC,rn4
s3://ngi-igenomes/igenomes/Rattus_norvegicus/UCSC/rn5/Sequence/WholeGenomeFasta/genome.fa,Rattus_norvegicus/UCSC/rn5,Rattus norvegicus,UCSC,rn5
