fasta,name,organism,source,genome_assembly,accession,group,pep_sample_name
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/schrenkiella_parvula/thellungiella/Thellungiella_v2_0_TpV84.fa.gz,schrenkiella_parvula_Thellungiella_v2_0_TpV84,Schrenkiella parvula,Thellungiella,Thellungiella_v2_0_TpV84,,schrenkiella_parvula,schrenkiella_parvula_Thellungiella_v2_0_TpV84
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/selaginella_moellendorffii/jgi/JGI_v1_0.fa.gz,selaginella_moellendorffii_JGI_v1_0,Selaginella moellendorffii,JGI,JGI_v1_0,,selaginella_moellendorffii,selaginella_moellendorffii_JGI_v1_0
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/selaginella_moellendorffii/plantref/NCBIr100.fa.gz,selaginella_moellendorffii_NCBIr100,Selaginella moellendorffii,plantref,NCBIr100,,selaginella_moellendorffii,selaginella_moellendorffii_NCBIr100
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/setaria_italica/jgi/JGI_8_3X_chromosome-scale_assembly_release_2_0_annotation_version_2_1.fa.gz,setaria_italica_JGI_8_3X_chromosome-scale_assembly_release_2_0_annotation_version_2_1,Setaria italica,JGI,JGI_8_3X_chromosome-scale_assembly_release_2_0_annotation_version_2_1,,setaria_italica,setaria_italica_JGI_8_3X_chromosome-scale_assembly_release_2_0_annotation_version_2_1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/setaria_italica/jgi/JGI_v2_2.fa.gz,setaria_italica_JGI_v2_2,Setaria italica,JGI,JGI_v2_2,,setaria_italica,setaria_italica_JGI_v2_2
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/solanum_lycopersicum/plantref/ITAG_2_3.fa.gz,solanum_lycopersicum_ITAG_2_3,Solanum lycopersicum,plantref,ITAG_2_3,,solanum_lycopersicum,solanum_lycopersicum_ITAG_2_3
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/solanum_lycopersicum/solgenomics/Sol_Genomics_itag2_4.fa.gz,solanum_lycopersicum_Sol_Genomics_itag2_4,Solanum lycopersicum,SolGenomics,Sol_Genomics_itag2_4,,solanum_lycopersicum,solanum_lycopersicum_Sol_Genomics_itag2_4
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/solanum_tuberosum/plantref/ITAG_001.fa.gz,solanum_tuberosum_ITAG_001,Solanum tuberosum,plantref,ITAG_001,,solanum_tuberosum,solanum_tuberosum_ITAG_001
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/solanum_tuberosum/jgi/JGI_v4_03.fa.gz,solanum_tuberosum_JGI_v4_03,Solanum tuberosum,JGI,JGI_v4_03,,solanum_tuberosum,solanum_tuberosum_JGI_v4_03
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/sorghum_bicolor/jgi/JGI_1_4.fa.gz,sorghum_bicolor_JGI_1_4,Sorghum bicolor,JGI,JGI_1_4,,sorghum_bicolor,sorghum_bicolor_JGI_1_4
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/sorghum_bicolor/jgi/JGI_v3_1.fa.gz,sorghum_bicolor_JGI_v3_1,Sorghum bicolor,JGI,JGI_v3_1,,sorghum_bicolor,sorghum_bicolor_JGI_v3_1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/spirodela_polyrhiza/jgi/JGI_v2_0.fa.gz,spirodela_polyrhiza_JGI_v2_0,Spirodela polyrhiza,JGI,JGI_v2_0,,spirodela_polyrhiza,spirodela_polyrhiza_JGI_v2_0
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/tarenaya_hassleriana/refseq/RefSeq_v1.fa.gz,tarenaya_hassleriana_RefSeq_v1,Tarenaya hassleriana,RefSeq,RefSeq_v1,,tarenaya_hassleriana,tarenaya_hassleriana_RefSeq_v1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/thalassiosira_pseudonana/jgi/JGI_3_0.fa.gz,thalassiosira_pseudonana_JGI_3_0,Thalassiosira pseudonana,JGI,JGI_3_0,,thalassiosira_pseudonana,thalassiosira_pseudonana_JGI_3_0
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/thellungiella_parvula/thellungiella/TpV84.fa.gz,thellungiella_parvula_TpV84,Thellungiella parvula,Thellungiella,TpV84,,thellungiella_parvula,thellungiella_parvula_TpV84
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/theobroma_cacao/plantref/D_Gilbert_public_gene_set_8_Mar_2012_on_assembly_v1_1.fa.gz,theobroma_cacao_D_Gilbert_public_gene_set_8_Mar_2012_on_assembly_v1_1,Theobroma cacao,plantref,D_Gilbert_public_gene_set_8_Mar_2012_on_assembly_v1_1,,theobroma_cacao,theobroma_cacao_D_Gilbert_public_gene_set_8_Mar_2012_on_assembly_v1_1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/theobroma_cacao/refseq/RefSeq_v1_1.fa.gz,theobroma_cacao_RefSeq_v1_1,Theobroma cacao,RefSeq,RefSeq_v1_1,,theobroma_cacao,theobroma_cacao_RefSeq_v1_1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/trifolium_pratense/jgi/JGI_v2.fa.gz,trifolium_pratense_JGI_v2,Trifolium pratense,JGI,JGI_v2,,trifolium_pratense,trifolium_pratense_JGI_v2
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/triticum_aestivum/ensembl/Ensembl_Plants_TGACv1.fa.gz,triticum_aestivum_Ensembl_Plants_TGACv1,Triticum aestivum,Ensembl,Ensembl_Plants_TGACv1,,triticum_aestivum,triticum_aestivum_Ensembl_Plants_TGACv1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/triticum_aestivum/plantref/IWGSC1_1.fa.gz,triticum_aestivum_IWGSC1_1,Triticum aestivum,plantref,IWGSC1_1,,triticum_aestivum,triticum_aestivum_IWGSC1_1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/triticum_turgidum/plantref/Svevo_v1_0.fa.gz,triticum_turgidum_Svevo_v1_0,Triticum turgidum,plantref,Svevo_v1_0,,triticum_turgidum,triticum_turgidum_Svevo_v1_0
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/utricularia_gibba/coge/CoGe_v4.fa.gz,utricularia_gibba_CoGe_v4,Utricularia gibba,CoGe,CoGe_v4,,utricularia_gibba,utricularia_gibba_CoGe_v4
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/vigna_radiata/lis/var_radiata_LIS_v6.fa.gz,vigna_radiata_var_radiata_LIS_v6,Vigna radiata,LIS,var_radiata_LIS_v6,,vigna_radiata,vigna_radiata_var_radiata_LIS_v6
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/vitis_vinifera/genoscope/genescope_v1.fa.gz,vitis_vinifera_genescope_v1,Vitis vinifera,Genoscope,genescope_v1,,vitis_vinifera,vitis_vinifera_genescope_v1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/vitis_vinifera/jgi/JGI_12xMarch2010.fa.gz,vitis_vinifera_JGI_12xMarch2010,Vitis vinifera,JGI,JGI_12xMarch2010,,vitis_vinifera,vitis_vinifera_JGI_12xMarch2010
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/volvox_carteri/jgi/JGI_2_0_Phtyozome_10_2.fa.gz,volvox_carteri_JGI_2_0_Phtyozome_10_2,Volvox carteri,JGI,JGI_2_0_Phtyozome_10_2,,volvox_carteri,volvox_carteri_JGI_2_0_Phtyozome_10_2
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/zea_mays/plantref/B73_5b_60.fa.gz,zea_mays_B73_5b_60,Zea mays,plantref,B73_5b_60,,zea_mays,zea_mays_B73_5b_60
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/zea_mays/plantref/B73_AGP_v4_0.fa.gz,zea_mays_B73_AGP_v4_0,Zea mays,plantref,B73_AGP_v4_0,,zea_mays,zea_mays_B73_AGP_v4_0
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/zea_mays/plantref/PH207_v1_0.fa.gz,zea_mays_PH207_v1_0,Zea mays,plantref,PH207_v1_0,,zea_mays,zea_mays_PH207_v1_0
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/ziziphus_jujuba/refseq/RefSeq_v1_1.fa.gz,ziziphus_jujuba_RefSeq_v1_1,Ziziphus jujuba,RefSeq,RefSeq_v1_1,,ziziphus_jujuba,ziziphus_jujuba_RefSeq_v1_1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/zostera_marina/jgi/JGI_v2_2.fa.gz,zostera_marina_JGI_v2_2,Zostera marina,JGI,JGI_v2_2,,zostera_marina,zostera_marina_JGI_v2_2
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/zoysia_japonica_subsp_nagirizaki/zoysiagdb/Zoysia_Genome_Database_v1_1.fa.gz,zoysia_japonica_Zoysia_Genome_Database_v1_1,Zoysia japonica subsp. nagirizaki,ZoysiaGDB,Zoysia_Genome_Database_v1_1,,zoysia_japonica_subsp_nagirizaki,zoysia_japonica_Zoysia_Genome_Database_v1_1
