fasta,name,organism,source,accession,genome_assembly
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_040954625.2.fa.gz,keBalMisa1.hap1,Balanoglossus misakiensis,VGP,GCA_040954625.2,keBalMisa1.hap1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_011004875.1.fa.gz,bBalReg1.pri,Balearica regulorum gibbericeps,VGP,GCA_011004875.1,bBalReg1.pri
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_936440315.1.fa.gz,fBarBab1.1,Barbus barbus,VGP,GCA_936440315.1,fBarBab1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_900634795.4.fa.gz,fBetSpl5.4,Betta splendens,VGP,GCF_900634795.4,fBetSpl5.4
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_963422515.1.fa.gz,fBleOce1.1,Blennius ocellaris,VGP,GCA_963422515.1,fBleOce1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_027579735.1.fa.gz,aBomBom1.pri,Bombina bombina,VGP,GCF_027579735.1,aBomBom1.pri
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_964205295.1.fa.gz,aBomVar4.paternal.1,Bombina variegata,VGP,GCA_964205295.1,aBomVar4.paternal.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_003369695.1.fa.gz,UOA_Brahman_1,Bos indicus x Bos taurus,VGP,GCF_003369695.1,UOA_Brahman_1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_035047305.1.fa.gz,BraPum1.0,Bradypodion pumilum,VGP,GCA_035047305.1,BraPum1.0
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_035047345.1.fa.gz,BraVen1.1,Bradypodion ventrale,VGP,GCA_035047345.1,BraVen1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_019207075.1.fa.gz,Bb-hap,Branchiostoma floridae x Branchiostoma belcheri,VGP,GCA_019207075.1,Bb-hap
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_015852565.1.fa.gz,bf_hap-2,Branchiostoma floridae x Branchiostoma japonicum,VGP,GCA_015852565.1,bf_hap-2
